time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449150000	18.9077	16.9533	4.54989	2.17638	0.577908	radar	7.89976	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7171	17.2159	4.75693	2.21301	0.584726	lidar	2.5503	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.6028	17.4172	4.78146	2.22068	0.557697	radar	4.72896	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3793	17.625	4.90325	2.26675	0.572392	lidar	4.51798	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2358	17.8161	4.90988	2.28301	0.556084	radar	2.30294	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.1007	17.9983	4.87352	2.30379	0.550474	lidar	0.758536	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9283	18.154	4.83358	2.34069	0.561377	radar	1.9367	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.8027	18.2851	4.7044	2.36438	0.557725	lidar	0.951172	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6697	18.4608	4.67843	2.37802	0.543628	radar	6.63468	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4624	18.6514	4.78169	2.40795	0.545913	lidar	0.590603	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2855	18.7917	4.74868	2.43907	0.549973	radar	1.65992	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1263	18.9221	4.68006	2.46528	0.548906	lidar	0.253268	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9568	19.0913	4.69445	2.48153	0.537419	radar	3.24983	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7367	19.2094	4.70972	2.52018	0.546631	lidar	2.68763	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5438	19.3655	4.74241	2.54287	0.543155	radar	3.22001	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3053	19.5347	4.86476	2.5694	0.542627	lidar	0.798265	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0865	19.6206	4.83063	2.61129	0.556687	radar	9.96391	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.877	19.7645	4.86377	2.63325	0.552069	lidar	0.713534	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6911	19.8816	4.78867	2.6485	0.535134	radar	3.72881	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4487	20.0383	4.90084	2.66883	0.529917	lidar	1.26785	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2313	20.1826	4.9279	2.68283	0.516763	radar	6.02728	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0482	20.3035	4.87496	2.69913	0.509447	lidar	2.21047	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8192	20.3898	4.87153	2.72981	0.513713	radar	1.84679	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6036	20.5042	4.87762	2.74914	0.508738	lidar	0.778251	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3639	20.5976	4.91637	2.77733	0.512723	radar	0.951001	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1182	20.6708	4.93284	2.80786	0.516493	lidar	0.551608	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8786	20.7469	4.95485	2.83663	0.520734	radar	0.223577	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6	20.8141	5.03093	2.86818	0.524759	lidar	1.37514	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3456	20.8546	5.07704	2.90793	0.541485	radar	2.45542	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1073	20.8933	5.04469	2.93886	0.544643	lidar	0.229342	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8719	20.952	5.0294	2.96198	0.541529	radar	1.79183	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6911	20.9868	4.89078	2.98632	0.540183	lidar	2.22231	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4303	21.0312	4.94937	3.01289	0.540943	radar	2.55968	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1871	21.0676	4.94924	3.03751	0.539042	lidar	0.113047	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9447	21.0897	4.9637	3.06624	0.542589	radar	1.09341	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7097	21.0616	4.91555	3.10569	0.552642	lidar	2.1161	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4566	21.0514	4.93883	3.13923	0.558479	radar	1.22787	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2535	21.0419	4.84776	3.16848	0.560284	lidar	0.769774	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9897	21.0083	4.90307	3.20489	0.567979	radar	4.3858	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7919	20.969	4.80343	3.23962	0.573913	lidar	0.750574	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
